UID: 3674537,Company Name: ,Country: 
Uid,Time,Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Fee Rate,Trade ID,Order ID
3674537,2026-03-23 20:53:01,USDT,LIGHTUSDT,Trade,Open Short,40.0000,205.0000,0.37780000,0E-8,0.01662320,0E-8,-0.01662320,5363.31475330,0.00110000,6d6b8e15-039e-5412-b87b-5f24155f4e04,9642a7e8-17cb-4182-a72d-16d714de88bd
3674537,2026-03-24 02:03:20,USDT,SIRENUSDT,Trade,Close Long,7.0000,1706.0000,0.95551500,0E-8,0.00735746,0.21043588,0.20307842,5376.55055915,0.00110000,d44284fe-31fb-5a78-b336-f0d10730d1a9,5d91a723-9023-4e05-a58c-9a0eab32d8d1
3674537,2026-03-24 02:02:45,USDT,SIRENUSDT,Trade,Close Long,2.0000,3231.0000,0.93528000,0E-8,0.00205762,0.01965457,0.01759695,5367.62120444,0.00110000,acf8a0a6-c03c-5197-90bb-3f7c6eaaab44,84b52831-6218-4432-b2f1-3706950e6538
3674537,2026-03-24 01:54:04,USDT,SIRENUSDT,Trade,Open Long,5.0000,6.0000,1.14918000,0E-8,0.00632049,0E-8,-0.00632049,5370.57881298,0.00110000,93247055-6a26-56a5-8817-b037f661fe6c,7c701f2c-a427-4e7e-8132-985edd7fca8b
3674537,2026-03-24 02:20:35,USDT,SIRENUSDT,Trade,Close Short,9.0000,127.0000,1.06780000,0E-8,0.01057122,0.87138028,0.86080906,5527.13766862,0.00110000,27556e58-16c6-532a-b9cf-2f0a3d11f98a,01fa8c09-043b-4490-b67a-3d12b7125758
3674537,2026-03-24 01:54:04,USDT,SIRENUSDT,Trade,Open Long,1.0000,1.0000,1.14888000,0E-8,0.00126377,0E-8,-0.00126377,5370.58513347,0.00110000,57191f55-a9aa-5923-8c3c-9f251b8859c6,7c701f2c-a427-4e7e-8132-985edd7fca8b
3674537,2026-03-24 02:20:20,USDT,SIRENUSDT,Trade,Close Short,14.0000,292.0000,1.10246000,0E-8,0.01697789,0.87024044,0.85326255,5514.91346180,0.00110000,517312f1-6f90-5d54-9c1d-0dd73444ac84,2f88195b-740d-4033-828a-43274fbffc86
3674537,2026-03-24 02:03:23,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-1.41110000,-1.41110000,5393.92885107,0E-8,,
3674537,2026-03-24 02:04:39,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-1.29730000,-1.29730000,5494.94599567,0E-8,,
3674537,2026-03-24 02:03:20,USDT,SIRENUSDT,Trade,Close Long,4.0000,1568.0000,0.95253000,0E-8,0.00419114,0.10830913,0.10411799,5390.92947307,0.00110000,e758d82b-6880-5dcd-973e-29cce5b418ea,a22cca64-e151-41a0-a758-8b321e397a21
3674537,2026-03-24 02:02:45,USDT,SIRENUSDT,Trade,Close Long,9.0000,2939.0000,0.93579000,0E-8,0.00926431,0.09303551,0.08377120,5370.33911493,0.00110000,3707a587-b8ab-52aa-8577-209b29443704,b69b4de4-7594-459f-8b6d-95c9c8cb93f5
3674537,2026-03-24 02:04:08,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-1.05610000,-1.05610000,5476.59017984,0E-8,,
3674537,2026-03-24 02:00:45,USDT,SIRENUSDT,Trade,Open Long,88.0000,3160.0000,0.85405000,0E-8,0.08267204,0E-8,-0.08267204,5367.36112172,0.00110000,8a98397f-0040-5f74-9bab-e34f755e4741,49d1830c-04eb-43c9-8441-21a5c9bd5d22
3674537,2026-03-24 02:02:45,USDT,SIRENUSDT,Trade,Close Long,148.0000,2379.0000,0.92807000,0E-8,0.15108980,0.38735772,0.23626792,5372.90883636,0.00110000,6a41ee10-97c0-594a-b73a-02110349a1c1,6fd4ce44-b8cb-4bf8-9e16-957503c47aeb
3674537,2026-03-24 02:20:20,USDT,SIRENUSDT,Trade,Close Short,12.0000,271.0000,1.10253000,0E-8,0.01455340,0.74508038,0.73052698,5516.19242460,0.00110000,c3c8907f-43f1-57cb-b45b-75addf0b46a3,2f88195b-740d-4033-828a-43274fbffc86
3674537,2026-03-23 22:26:58,USDT,LIGHTUSDT,Trade,Open Short,196.0000,196.0000,0.38670000,0E-8,0.08337252,0E-8,-0.08337252,5368.74685724,0.00110000,9fd01de2-ece0-559e-8c43-bfb23d08239b,9d1b8007-4dd2-43cf-8880-a6221aadf491
3674537,2026-03-24 02:03:23,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-0.11130000,-0.11130000,5393.48895107,0E-8,,
3674537,2026-03-24 02:03:20,USDT,SIRENUSDT,Trade,Close Long,45.0000,1403.0000,0.95110000,0E-8,0.04707945,1.15412769,1.10704824,5395.06320783,0.00110000,152f3f7f-15bf-53f4-9f11-1d7767a1fb00,20bbc179-df09-4312-8057-c59b01d5de26
3674537,2026-03-24 02:20:20,USDT,SIRENUSDT,Trade,Close Short,20.0000,212.0000,1.10278000,0E-8,0.02426116,1.23680063,1.21253947,5519.77256948,0.00110000,f060d26e-0738-5bb3-a982-eb8643d112d0,2f88195b-740d-4033-828a-43274fbffc86
3674537,2026-03-24 02:06:37,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-0.61510000,-0.61510000,5513.85554795,0E-8,,
3674537,2026-03-24 09:07:05,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-0.22680000,-0.22680000,5545.42768310,0E-8,,
3674537,2026-03-24 02:03:20,USDT,SIRENUSDT,Trade,Close Long,32.0000,1448.0000,0.95111000,0E-8,0.03347908,0.82103302,0.78755394,5393.95615959,0.00110000,f42e2f92-4a66-5965-9486-3ef9deb1ba5e,20bbc179-df09-4312-8057-c59b01d5de26
3674537,2026-03-23 21:13:01,USDT,LIGHTUSDT,Trade,Open Short,236.0000,236.0000,0.38070000,0E-8,0.09882972,0E-8,-0.09882972,5368.24873943,0.00110000,70cb5a78-5143-51a6-98f5-2ca45780d095,d51de750-d00a-41cd-ba8d-aa89a6ddb575
3674537,2026-03-24 02:02:51,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-0.07680000,-0.07680000,5374.17651722,0E-8,,
3674537,2026-03-24 02:02:45,USDT,SIRENUSDT,Trade,Close Long,7.0000,3236.0000,0.93587000,0E-8,0.00720620,0.07292098,0.06571478,5367.57721207,0.00110000,1b98af9e-3fbd-5bdd-b5f4-40f8842007a0,84b52831-6218-4432-b2f1-3706950e6538
