metric,all,disc,val
total_trades,439,139,300
wins,406,123,283
losses,33,16,17
flats,0,0,0
win_rate_pct,92.5,88.5,94.3
total_pnl_usd,-442.03,-3870.77,3428.74
avg_pnl_per_trade,-1.01,-27.85,11.43
max_drawdown_usd,14557.30,11302.87,5655.07
best_trade_usd,331.12,331.09,331.12
worst_trade_usd,-2769.85,-2702.19,-2769.85
run_timestamp,2026-04-05T02:02:33.957Z,,
