trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
377,ladder,HYPEUSDT,long,2026-03-04T15:35:00Z,2026-03-09T14:15:00Z,32.443037,32.897240,25720.33,294.38,1.1445,tp,7120,val,28.49
378,ladder,HYPEUSDT,long,2026-03-09T14:20:00Z,2026-03-09T16:20:00Z,32.659255,33.116485,5953.28,76.67,1.2879,tp,120,val,6.59
379,ladder,HYPEUSDT,long,2026-03-09T16:25:00Z,2026-03-09T16:40:00Z,33.546000,34.015644,800.00,10.31,1.2889,tp,15,val,0.89
380,ladder,HYPEUSDT,long,2026-03-09T16:55:00Z,2026-03-09T17:50:00Z,33.962014,34.437482,2912.00,37.53,1.2886,tp,55,val,3.23
381,ladder,HYPEUSDT,long,2026-03-09T18:15:00Z,2026-03-09T19:25:00Z,34.213379,34.692366,2912.00,37.52,1.2885,tp,70,val,3.23
382,ladder,HYPEUSDT,long,2026-03-09T19:45:00Z,2026-03-09T21:00:00Z,34.145723,34.623763,2912.00,37.52,1.2884,tp,75,val,3.23
383,ladder,HYPEUSDT,long,2026-03-09T21:15:00Z,2026-03-09T21:50:00Z,34.843748,35.331561,1760.00,22.68,1.2888,tp,35,val,1.95
384,pf0-short,HYPEUSDT,short,2026-03-10T01:00:00Z,2026-03-10T01:35:00Z,34.312000,33.968880,3000.00,26.70,0.8900,tp,35,val,3.30
385,ladder,HYPEUSDT,long,2026-03-09T22:15:00Z,2026-03-10T04:00:00Z,34.260365,34.740010,25720.33,330.67,1.2857,tp,345,val,28.49
386,ladder,HYPEUSDT,long,2026-03-10T04:05:00Z,2026-03-10T08:00:00Z,34.252669,34.732206,20766.95,267.32,1.2872,tp,235,val,23.00
387,ladder,HYPEUSDT,long,2026-03-10T08:15:00Z,2026-03-11T12:00:00Z,34.811946,34.916382,25720.33,40.91,0.1591,stale,1665,val,28.33
388,ladder,HYPEUSDT,long,2026-03-11T12:05:00Z,2026-03-11T12:15:00Z,34.877000,35.365278,800.00,10.31,1.2890,tp,10,val,0.89
389,ladder,HYPEUSDT,long,2026-03-11T12:35:00Z,2026-03-11T13:20:00Z,35.795512,36.296650,1760.00,22.68,1.2886,tp,45,val,1.95
390,ladder,HYPEUSDT,long,2026-03-11T13:35:00Z,2026-03-11T14:30:00Z,35.896913,36.399469,2912.00,37.52,1.2884,tp,55,val,3.23
391,wed-short,HYPEUSDT,short,2026-03-11T22:00:00Z,2026-03-11T22:55:00Z,36.525000,36.159750,15000.00,133.50,0.8900,tp,55,val,16.50
392,ladder,HYPEUSDT,long,2026-03-11T14:40:00Z,2026-03-12T00:15:00Z,36.287088,36.395949,25720.33,46.63,0.1813,stale,575,val,28.33
393,ladder,HYPEUSDT,long,2026-03-12T00:20:00Z,2026-03-12T01:15:00Z,36.513780,37.024973,1760.00,22.68,1.2884,tp,55,val,1.95
394,ladder,HYPEUSDT,long,2026-03-12T01:20:00Z,2026-03-12T05:30:00Z,36.157924,36.664135,25720.33,331.06,1.2872,tp,250,val,28.49
395,ladder,HYPEUSDT,long,2026-03-12T05:50:00Z,2026-03-12T09:40:00Z,37.007547,37.525653,16639.12,214.17,1.2871,tp,230,val,18.43
396,ladder,HYPEUSDT,long,2026-03-12T09:50:00Z,2026-03-12T10:20:00Z,37.404000,37.927656,800.00,10.31,1.2886,tp,30,val,0.89
397,pf0-short,HYPEUSDT,short,2026-03-12T09:00:00Z,2026-03-12T10:35:00Z,37.255000,38.000100,3000.00,-63.30,-2.1100,stop,95,val,3.30
398,ladder,HYPEUSDT,long,2026-03-12T10:25:00Z,2026-03-13T00:30:00Z,37.382840,37.906200,25720.33,328.03,1.2754,tp,845,val,28.49
