metric,all,disc,val
total_trades,61,56,5
wins,40,37,3
losses,21,19,2
flats,0,0,0
win_rate_pct,65.6,66.1,60.0
total_pnl_usd,563.23,652.02,-88.79
avg_pnl_per_trade,9.23,11.64,-17.76
max_drawdown_usd,705.31,705.31,216.50
best_trade_usd,94.50,94.50,94.50
worst_trade_usd,-155.50,-155.50,-155.50
run_timestamp,2026-04-05T02:13:58.594Z,,
