metric,all,disc,val
total_trades,67,57,10
wins,50,42,8
losses,17,15,2
flats,0,0,0
win_rate_pct,74.6,73.7,80.0
total_pnl_usd,4714.25,3412.74,1301.51
avg_pnl_per_trade,70.36,59.87,130.15
max_drawdown_usd,451.37,451.37,119.50
best_trade_usd,189.00,189.00,189.00
worst_trade_usd,-311.00,-311.00,-119.50
run_timestamp,2026-04-05T04:11:50.358Z,,
