metric,all,disc,val
total_trades,61,56,5
wins,36,33,3
losses,25,23,2
flats,0,0,0
win_rate_pct,59.0,58.9,60.0
total_pnl_usd,341.26,380.05,-38.79
avg_pnl_per_trade,5.59,6.79,-7.76
max_drawdown_usd,642.85,642.85,191.50
best_trade_usd,119.50,119.50,119.50
worst_trade_usd,-155.50,-155.50,-155.50
run_timestamp,2026-04-05T02:13:58.621Z,,
