metric,all,disc,val
total_trades,83,75,8
wins,56,50,6
losses,27,25,2
flats,0,0,0
win_rate_pct,67.5,66.7,75.0
total_pnl_usd,4475.88,3836.45,639.43
avg_pnl_per_trade,53.93,51.15,79.93
max_drawdown_usd,1108.36,1108.36,383.00
best_trade_usd,239.00,239.00,239.00
worst_trade_usd,-311.00,-311.00,-311.00
run_timestamp,2026-04-05T02:27:03.372Z,,
