metric,all,disc,val
total_trades,73,65,8
wins,42,37,5
losses,31,28,3
flats,0,0,0
win_rate_pct,57.5,56.9,62.5
total_pnl_usd,54.90,65.83,-10.93
avg_pnl_per_trade,0.75,1.01,-1.37
max_drawdown_usd,836.03,836.03,191.50
best_trade_usd,119.50,119.50,119.50
worst_trade_usd,-155.50,-155.50,-155.50
run_timestamp,2026-04-05T02:13:58.626Z,,
