metric,all,disc,val
total_trades,69,63,6
wins,46,42,4
losses,23,21,2
flats,0,0,0
win_rate_pct,66.7,66.7,66.7
total_pnl_usd,1358.11,1511.84,-153.72
avg_pnl_per_trade,19.68,24.00,-25.62
max_drawdown_usd,606.97,531.38,366.50
best_trade_usd,144.50,144.50,144.50
worst_trade_usd,-255.50,-255.50,-255.50
run_timestamp,2026-04-05T02:13:58.672Z,,
