metric,all,disc,val
total_trades,118,100,18
wins,93,79,14
losses,25,21,4
flats,0,0,0
win_rate_pct,78.8,79.0,77.8
total_pnl_usd,10901.51,9088.01,1813.51
avg_pnl_per_trade,92.39,90.88,100.75
max_drawdown_usd,1211.76,1211.76,358.19
best_trade_usd,189.00,189.00,189.00
worst_trade_usd,-311.00,-311.00,-311.00
run_timestamp,2026-04-05T04:11:50.357Z,,
