metric,all,disc,val
total_trades,52,47,5
wins,35,32,3
losses,17,15,2
flats,0,0,0
win_rate_pct,67.3,68.1,60.0
total_pnl_usd,635.69,663.19,-27.50
avg_pnl_per_trade,12.22,14.11,-5.50
max_drawdown_usd,644.31,644.31,216.50
best_trade_usd,94.50,94.50,94.50
worst_trade_usd,-155.50,-155.50,-155.50
run_timestamp,2026-04-05T02:13:58.591Z,,
