metric,all,disc,val
total_trades,104,93,11
wins,74,65,9
losses,30,28,2
flats,0,0,0
win_rate_pct,71.2,69.9,81.8
total_pnl_usd,616.98,338.77,278.21
avg_pnl_per_trade,5.93,3.64,25.29
max_drawdown_usd,839.35,839.35,241.50
best_trade_usd,69.50,69.50,69.50
worst_trade_usd,-155.50,-155.50,-155.50
run_timestamp,2026-04-05T02:02:14.148Z,,
