metric,all,disc,val
total_trades,52,47,5
wins,37,34,3
losses,15,13,2
flats,0,0,0
win_rate_pct,71.2,72.3,60.0
total_pnl_usd,1614.24,1691.74,-77.50
avg_pnl_per_trade,31.04,35.99,-15.50
max_drawdown_usd,576.36,571.39,366.50
best_trade_usd,144.50,144.50,144.50
worst_trade_usd,-255.50,-255.50,-255.50
run_timestamp,2026-04-05T02:13:58.661Z,,
