metric,all,disc,val
total_trades,104,93,11
wins,67,59,8
losses,37,34,3
flats,0,0,0
win_rate_pct,64.4,63.4,72.7
total_pnl_usd,1591.80,1294.23,297.57
avg_pnl_per_trade,15.31,13.92,27.05
max_drawdown_usd,804.98,804.98,366.50
best_trade_usd,144.50,144.50,144.50
worst_trade_usd,-255.50,-255.50,-255.50
run_timestamp,2026-04-05T02:02:14.171Z,,
