trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
1,pf0-short,SUIUSDT,short,2024-12-10T02:00:00Z,2024-12-10T03:12:00Z,3.686900,3.613162,5000.00,94.50,1.8900,tp,72,disc,5.50
2,pf0-short,SUIUSDT,short,2024-12-19T06:00:00Z,2024-12-19T11:15:00Z,4.374200,4.505426,5000.00,-155.50,-3.1100,stop,315,disc,5.50
3,pf0-short,SUIUSDT,short,2024-12-19T14:00:00Z,2024-12-19T15:24:00Z,4.426900,4.338362,5000.00,94.50,1.8900,tp,84,disc,5.50
4,pf0-short,SUIUSDT,short,2024-12-27T12:00:00Z,2024-12-27T14:05:00Z,4.330200,4.243596,5000.00,94.50,1.8900,tp,125,disc,5.50
5,pf0-short,SUIUSDT,short,2024-12-27T20:00:00Z,2024-12-27T23:35:00Z,4.152400,4.069352,5000.00,94.50,1.8900,tp,215,disc,5.50
6,pf0-short,SUIUSDT,short,2024-12-31T11:00:00Z,2024-12-31T22:25:00Z,4.234500,4.149810,5000.00,94.50,1.8900,tp,685,disc,5.50
7,pf0-short,SUIUSDT,short,2025-01-09T19:00:00Z,2025-01-10T01:45:00Z,4.672100,4.812263,5000.00,-155.50,-3.1100,stop,405,disc,5.50
8,pf0-short,SUIUSDT,short,2025-01-14T01:00:00Z,2025-01-14T07:35:00Z,4.661800,4.568564,5000.00,94.50,1.8900,tp,395,disc,5.50
9,pf0-short,SUIUSDT,short,2025-01-14T12:00:00Z,2025-01-14T14:38:00Z,4.552200,4.688766,5000.00,-155.50,-3.1100,stop,158,disc,5.50
10,pf0-short,SUIUSDT,short,2025-01-21T01:00:00Z,2025-01-21T10:50:00Z,4.311700,4.441051,5000.00,-155.50,-3.1100,stop,590,disc,5.50
11,pf0-short,SUIUSDT,short,2025-02-02T22:00:00Z,2025-02-02T23:04:00Z,3.278000,3.212440,5000.00,94.50,1.8900,tp,64,disc,5.50
12,pf0-short,SUIUSDT,short,2025-02-03T10:00:00Z,2025-02-03T11:39:00Z,3.192800,3.128944,5000.00,94.50,1.8900,tp,99,disc,5.50
13,pf0-short,SUIUSDT,short,2025-02-03T18:00:00Z,2025-02-03T20:08:00Z,3.587700,3.515946,5000.00,94.50,1.8900,tp,128,disc,5.50
14,pf0-short,SUIUSDT,short,2025-02-06T09:00:00Z,2025-02-06T12:34:00Z,3.459900,3.390702,5000.00,94.50,1.8900,tp,214,disc,5.50
15,pf0-short,SUIUSDT,short,2025-02-06T23:00:00Z,2025-02-07T01:52:00Z,3.133900,3.227917,5000.00,-155.50,-3.1100,stop,172,disc,5.50
16,pf0-short,SUIUSDT,short,2025-02-07T04:00:00Z,2025-02-07T06:21:00Z,3.186700,3.122966,5000.00,94.50,1.8900,tp,141,disc,5.50
17,pf0-short,SUIUSDT,short,2025-02-09T06:00:00Z,2025-02-09T13:31:00Z,3.091800,3.029964,5000.00,94.50,1.8900,tp,451,disc,5.50
18,pf0-short,SUIUSDT,short,2025-02-09T23:00:00Z,2025-02-10T00:17:00Z,2.993400,3.083202,5000.00,-155.50,-3.1100,stop,77,disc,5.50
19,pf0-short,SUIUSDT,short,2025-02-10T16:00:00Z,2025-02-10T22:54:00Z,3.251500,3.186470,5000.00,94.50,1.8900,tp,414,disc,5.50
20,pf0-short,SUIUSDT,short,2025-02-24T08:00:00Z,2025-02-24T10:37:00Z,3.254200,3.189116,5000.00,94.50,1.8900,tp,157,disc,5.50
21,pf0-short,SUIUSDT,short,2025-02-25T03:00:00Z,2025-02-25T04:11:00Z,2.825400,2.768892,5000.00,94.50,1.8900,tp,71,disc,5.50
22,pf0-short,SUIUSDT,short,2025-02-25T08:00:00Z,2025-02-25T09:21:00Z,2.782600,2.726948,5000.00,94.50,1.8900,tp,81,disc,5.50
23,pf0-short,SUIUSDT,short,2025-02-28T18:00:00Z,2025-03-01T04:21:00Z,2.817800,2.902334,5000.00,-155.50,-3.1100,stop,621,disc,5.50
