trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
1,pf0-short,SUIUSDT,short,2024-12-06T10:00:00Z,2024-12-06T23:00:00Z,4.173500,4.224900,5000.00,-67.08,-1.3416,flat,780,disc,5.50
2,pf0-short,SUIUSDT,short,2024-12-09T19:00:00Z,2024-12-09T20:27:00Z,4.035100,3.934222,5000.00,119.50,2.3900,tp,87,disc,5.50
3,pf0-short,SUIUSDT,short,2024-12-10T02:00:00Z,2024-12-10T03:12:00Z,3.686900,3.594727,5000.00,119.50,2.3900,tp,72,disc,5.50
4,pf0-short,SUIUSDT,short,2024-12-12T05:00:00Z,2024-12-12T09:48:00Z,4.796500,4.676588,5000.00,119.50,2.3900,tp,288,disc,5.50
5,pf0-short,SUIUSDT,short,2024-12-16T03:00:00Z,2024-12-16T11:58:00Z,4.755500,4.636612,5000.00,119.50,2.3900,tp,538,disc,5.50
6,pf0-short,SUIUSDT,short,2024-12-19T06:00:00Z,2024-12-19T11:24:00Z,4.374200,4.549168,5000.00,-205.50,-4.1100,stop,324,disc,5.50
7,pf0-short,SUIUSDT,short,2024-12-19T14:00:00Z,2024-12-19T16:07:00Z,4.426900,4.316228,5000.00,119.50,2.3900,tp,127,disc,5.50
8,pf0-short,SUIUSDT,short,2024-12-20T19:00:00Z,2024-12-21T04:43:00Z,4.501600,4.681664,5000.00,-205.50,-4.1100,stop,583,disc,5.50
9,pf0-short,SUIUSDT,short,2024-12-24T16:00:00Z,2024-12-25T05:00:00Z,4.571800,4.575200,5000.00,-9.22,-0.1844,flat,780,disc,5.50
10,pf0-short,SUIUSDT,short,2024-12-27T12:00:00Z,2024-12-27T14:33:00Z,4.330200,4.221945,5000.00,119.50,2.3900,tp,153,disc,5.50
11,pf0-short,SUIUSDT,short,2024-12-27T20:00:00Z,2024-12-28T01:24:00Z,4.152400,4.048590,5000.00,119.50,2.3900,tp,324,disc,5.50
12,pf0-short,SUIUSDT,short,2024-12-31T11:00:00Z,2024-12-31T23:04:00Z,4.234500,4.128637,5000.00,119.50,2.3900,tp,724,disc,5.50
13,pf0-short,SUIUSDT,short,2025-01-09T01:00:00Z,2025-01-09T06:48:00Z,4.836200,4.715295,5000.00,119.50,2.3900,tp,348,disc,5.50
14,pf0-short,SUIUSDT,short,2025-01-09T19:00:00Z,2025-01-10T02:31:00Z,4.672100,4.858984,5000.00,-205.50,-4.1100,stop,451,disc,5.50
15,pf0-short,SUIUSDT,short,2025-01-14T01:00:00Z,2025-01-14T07:48:00Z,4.661800,4.545255,5000.00,119.50,2.3900,tp,408,disc,5.50
16,pf0-short,SUIUSDT,short,2025-01-14T12:00:00Z,2025-01-15T01:00:00Z,4.552200,4.540600,5000.00,7.24,0.1448,flat,780,disc,5.50
17,pf0-short,SUIUSDT,short,2025-01-17T23:00:00Z,2025-01-18T05:12:00Z,4.838800,4.717830,5000.00,119.50,2.3900,tp,372,disc,5.50
