metric,all,disc,val
total_trades,69,63,6
wins,47,43,4
losses,22,20,2
flats,0,0,0
win_rate_pct,68.1,68.3,66.7
total_pnl_usd,1069.23,1063.52,5.71
avg_pnl_per_trade,15.50,16.88,0.95
max_drawdown_usd,705.31,705.31,216.50
best_trade_usd,94.50,94.50,94.50
worst_trade_usd,-155.50,-155.50,-155.50
run_timestamp,2026-04-05T02:13:58.603Z,,
