metric,all,disc,val
total_trades,71,65,6
wins,48,44,4
losses,23,21,2
flats,0,0,0
win_rate_pct,67.6,67.7,66.7
total_pnl_usd,1547.58,1701.31,-153.72
avg_pnl_per_trade,21.80,26.17,-25.62
max_drawdown_usd,531.38,531.38,366.50
best_trade_usd,144.50,144.50,144.50
worst_trade_usd,-255.50,-255.50,-255.50
run_timestamp,2026-04-05T02:13:58.676Z,,
