metric,all,disc,val
total_trades,118,100,18
wins,96,81,15
losses,22,19,3
flats,0,0,0
win_rate_pct,81.4,81.0,83.3
total_pnl_usd,8534.52,6927.22,1607.31
avg_pnl_per_trade,72.33,69.27,89.29
max_drawdown_usd,811.76,811.76,358.19
best_trade_usd,139.00,139.00,139.00
worst_trade_usd,-311.00,-311.00,-311.00
run_timestamp,2026-04-05T04:11:50.360Z,,
