metric,all,disc,val
total_trades,65,59,6
wins,35,31,4
losses,30,28,2
flats,0,0,0
win_rate_pct,53.8,52.5,66.7
total_pnl_usd,-2223.45,-2282.06,58.60
avg_pnl_per_trade,-34.21,-38.68,9.77
max_drawdown_usd,3419.28,3364.28,622.00
best_trade_usd,189.00,189.00,189.00
worst_trade_usd,-311.00,-311.00,-311.00
run_timestamp,2026-04-05T03:46:50.985Z,,
