metric,all,disc,val
total_trades,386,329,57
wins,223,185,38
losses,163,144,19
flats,0,0,0
win_rate_pct,57.8,56.2,66.7
total_pnl_usd,-649.68,-3827.08,3177.40
avg_pnl_per_trade,-1.68,-11.63,55.74
max_drawdown_usd,5523.06,5523.06,1017.90
best_trade_usd,189.00,189.00,189.00
worst_trade_usd,-311.00,-311.00,-311.00
run_timestamp,2026-04-05T04:20:15.365Z,,
