metric,all,disc,val
total_trades,67,62,5
wins,46,43,3
losses,21,19,2
flats,0,0,0
win_rate_pct,68.7,69.4,60.0
total_pnl_usd,1130.23,1219.02,-88.79
avg_pnl_per_trade,16.87,19.66,-17.76
max_drawdown_usd,620.85,620.85,216.50
best_trade_usd,94.50,94.50,94.50
worst_trade_usd,-155.50,-155.50,-155.50
run_timestamp,2026-04-05T02:13:58.599Z,,
