metric,all,disc,val
total_trades,46,41,5
wins,31,28,3
losses,15,13,2
flats,0,0,0
win_rate_pct,67.4,68.3,60.0
total_pnl_usd,507.40,596.19,-88.79
avg_pnl_per_trade,11.03,14.54,-17.76
max_drawdown_usd,644.31,644.31,216.50
best_trade_usd,94.50,94.50,94.50
worst_trade_usd,-155.50,-155.50,-155.50
run_timestamp,2026-04-05T02:13:58.606Z,,
