metric,all,disc,val
total_trades,46,41,5
wins,32,29,3
losses,14,12,2
flats,0,0,0
win_rate_pct,69.6,70.7,60.0
total_pnl_usd,1218.78,1407.57,-188.79
avg_pnl_per_trade,26.50,34.33,-37.76
max_drawdown_usd,682.70,677.73,366.50
best_trade_usd,144.50,144.50,144.50
worst_trade_usd,-255.50,-255.50,-255.50
run_timestamp,2026-04-05T02:13:58.674Z,,
