metric,all,disc,val
total_trades,104,93,11
wins,76,68,8
losses,28,25,3
flats,0,0,0
win_rate_pct,73.1,73.1,72.7
total_pnl_usd,1748.23,1691.23,57.00
avg_pnl_per_trade,16.81,18.19,5.18
max_drawdown_usd,709.59,671.09,416.50
best_trade_usd,94.50,94.50,94.50
worst_trade_usd,-255.50,-255.50,-255.50
run_timestamp,2026-04-05T02:02:14.158Z,,
