metric,all,disc,val
total_trades,67,62,5
wins,45,42,3
losses,22,20,2
flats,0,0,0
win_rate_pct,67.2,67.7,60.0
total_pnl_usd,1559.46,1748.25,-188.79
avg_pnl_per_trade,23.28,28.20,-37.76
max_drawdown_usd,531.38,531.38,366.50
best_trade_usd,144.50,144.50,144.50
worst_trade_usd,-255.50,-255.50,-255.50
run_timestamp,2026-04-05T02:13:58.668Z,,
